tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,33695,6976,9348497,147245,2017-08-01 16:23:56+00:00
892177421306343426,29230,5280,9348497,147245,2017-08-01 00:17:27+00:00
891815181378084864,21974,3466,9347629,147243,2017-07-31 00:18:03+00:00
891689557279858688,36778,7190,9347629,147243,2017-07-30 15:58:51+00:00
891327558926688256,35164,7723,9348497,147245,2017-07-29 16:00:24+00:00
891087950875897856,17738,2586,9347629,147243,2017-07-29 00:08:17+00:00
890971913173991426,10324,1649,9347627,147243,2017-07-28 16:27:12+00:00
890729181411237888,56640,15693,9347629,147243,2017-07-28 00:22:40+00:00
890609185150312448,24433,3605,9348497,147245,2017-07-27 16:25:51+00:00
890240255349198849,27847,6076,9348497,147245,2017-07-26 15:59:51+00:00
890006608113172480,26954,6119,9348497,147245,2017-07-26 00:31:25+00:00
889880896479866881,24496,4142,9347629,147243,2017-07-25 16:11:53+00:00
889665388333682689,41870,8309,9347629,147243,2017-07-25 01:55:32+00:00
889638837579907072,23576,3702,9348497,147245,2017-07-25 00:10:02+00:00
889531135344209921,13305,1874,9347629,147243,2017-07-24 17:02:04+00:00
889278841981685760,22012,4425,9348497,147245,2017-07-24 00:19:32+00:00
888917238123831296,25522,3746,9347629,147243,2017-07-23 00:22:39+00:00
888804989199671297,22385,3517,9347629,147243,2017-07-22 16:56:37+00:00
888554962724278272,17254,2867,9347627,147243,2017-07-22 00:23:06+00:00
888078434458587136,19094,2885,9347629,147243,2017-07-20 16:49:33+00:00
887705289381826560,26527,4521,9348497,147245,2017-07-19 16:06:48+00:00
887517139158093824,40562,9817,9348497,147245,2017-07-19 03:39:09+00:00
887473957103951883,59970,14968,9348497,147245,2017-07-19 00:47:34+00:00
887343217045368832,29480,8785,9347629,147243,2017-07-18 16:08:03+00:00
887101392804085760,26884,4972,9348497,147245,2017-07-18 00:07:08+00:00
886983233522544640,30255,6293,9348497,147245,2017-07-17 16:17:36+00:00
886736880519319552,10459,2619,9347629,147243,2017-07-16 23:58:41+00:00
886680336477933568,19656,3723,9347629,147243,2017-07-16 20:14:00+00:00
886366144734445568,18495,2613,9347629,147243,2017-07-15 23:25:31+00:00
886267009285017600,105,4,9347629,147243,2017-07-15 16:51:35+00:00
886258384151887873,24442,5258,9348497,147245,2017-07-15 16:17:19+00:00
886054160059072513,0,93,9347629,147243,2017-07-15 02:45:48+00:00
885984800019947520,28491,5590,9347629,147243,2017-07-14 22:10:11+00:00
885528943205470208,31495,5308,9348497,147245,2017-07-13 15:58:47+00:00
885518971528720385,17943,3100,9347629,147243,2017-07-13 15:19:09+00:00
885311592912609280,0,15379,9347629,147243,2017-07-13 01:35:06+00:00
885167619883638784,19187,3654,9348497,147245,2017-07-12 16:03:00+00:00
884925521741709313,66951,14953,9348497,147245,2017-07-12 00:01:00+00:00
884876753390489601,24294,4644,9347629,147243,2017-07-11 20:47:12+00:00
884562892145688576,21241,3896,9348497,147245,2017-07-11 00:00:02+00:00
884441805382717440,23788,4780,9348497,147245,2017-07-10 15:58:53+00:00
884247878851493888,62995,16840,9347629,147243,2017-07-10 03:08:17+00:00
884162670584377345,17893,2493,9348497,147245,2017-07-09 21:29:42+00:00
883838122936631299,19084,2849,9348497,147245,2017-07-09 00:00:04+00:00
883482846933004288,40047,8231,9348497,147245,2017-07-08 00:28:19+00:00
883360690899218434,19885,3061,9348497,147245,2017-07-07 16:22:55+00:00
883117836046086144,32396,5512,9348497,147245,2017-07-07 00:17:54+00:00
882992080364220416,20915,3231,9347629,147243,2017-07-06 15:58:11+00:00
882762694511734784,24700,4080,9347629,147243,2017-07-06 00:46:41+00:00
882627270321602560,24521,5046,9347629,147243,2017-07-05 15:48:34+00:00
882268110199369728,39059,9588,9347629,147243,2017-07-04 16:01:23+00:00
882045870035918850,25623,4069,9348497,147245,2017-07-04 01:18:17+00:00
881906580714921986,21380,2842,9348497,147245,2017-07-03 16:04:48+00:00
881666595344535552,44402,8921,9348497,147245,2017-07-03 00:11:11+00:00
881633300179243008,113,8,9347629,147243,2017-07-02 21:58:53+00:00
881536004380872706,43300,13354,9348497,147245,2017-07-02 15:32:16+00:00
881268444196462592,20425,4486,9347629,147243,2017-07-01 21:49:04+00:00
880935762899988482,15001,2329,9347629,147243,2017-06-30 23:47:07+00:00
880872448815771648,18653,3193,9348497,147245,2017-06-30 19:35:32+00:00
880465832366813184,24930,5196,9348497,147245,2017-06-29 16:39:47+00:00
880221127280381952,23573,3452,9347629,147243,2017-06-29 00:27:25+00:00
880095782870896641,24230,3637,9348497,147245,2017-06-28 16:09:20+00:00
879862464715927552,19644,2916,9347629,147243,2017-06-28 00:42:13+00:00
879674319642796034,281,9,9348497,147245,2017-06-27 12:14:36+00:00
879492040517615616,20644,2622,9348497,147245,2017-06-27 00:10:17+00:00
879415818425184262,92505,37255,9347629,147243,2017-06-26 19:07:24+00:00
879376492567855104,14798,2635,9347629,147243,2017-06-26 16:31:08+00:00
879130579576475649,0,5714,9347629,147243,2017-06-26 00:13:58+00:00
879050749262655488,19751,3939,9347629,147243,2017-06-25 18:56:45+00:00
879008229531029506,16719,2233,9347629,147243,2017-06-25 16:07:47+00:00
878776093423087618,17071,3422,9348497,147245,2017-06-25 00:45:22+00:00
878604707211726852,26355,5902,9348497,147245,2017-06-24 13:24:20+00:00
878404777348136964,0,1071,9347629,147243,2017-06-24 00:09:53+00:00
878316110768087041,0,5502,9347629,147243,2017-06-23 18:17:33+00:00
878281511006478336,6760,1071,9348497,147245,2017-06-23 16:00:04+00:00
878057613040115712,37017,5715,9348497,147245,2017-06-23 01:10:23+00:00
877736472329191424,68969,15740,9348497,147245,2017-06-22 03:54:17+00:00
877611172832227328,0,70,9347629,147243,2017-06-21 19:36:23+00:00
877556246731214848,19838,3155,9348497,147245,2017-06-21 15:58:08+00:00
877316821321428993,24060,4325,9347629,147243,2017-06-21 00:06:44+00:00
877201837425926144,23788,4607,9347629,147243,2017-06-20 16:29:50+00:00
876838120628539392,18163,2795,9348497,147245,2017-06-19 16:24:33+00:00
876537666061221889,20981,3963,9348497,147245,2017-06-18 20:30:39+00:00
876484053909872640,16515,1992,9348497,147245,2017-06-18 16:57:37+00:00
876120275196170240,24613,3891,9348497,147245,2017-06-17 16:52:05+00:00
875747767867523072,22033,3567,9348497,147245,2017-06-16 16:11:53+00:00
875144289856114688,19366,4135,9348497,147245,2017-06-15 00:13:52+00:00
875097192612077568,24171,5097,9348497,147245,2017-06-14 21:06:43+00:00
875021211251597312,22489,3956,9348497,147245,2017-06-14 16:04:48+00:00
874680097055178752,24514,3908,9347629,147243,2017-06-13 17:29:20+00:00
874434818259525634,0,12166,9348497,147245,2017-06-13 01:14:41+00:00
874296783580663808,22889,3472,9348497,147245,2017-06-12 16:06:11+00:00
874057562936811520,20052,3369,9348497,147245,2017-06-12 00:15:36+00:00
874012996292530176,30030,8557,9347629,147243,2017-06-11 21:18:31+00:00
